"","Total Number of reads for each species across all samples"
"Pseudomonas parafulva",1052
"Pseudomonas phragmitis",404
"Pseudomonas plecoglossicida",1022
"Pseudomonas poae",640
"Pseudomonas pohangensis",536
"Pseudomonas promysalinigenes",263
"Pseudomonas prosekii",316
"Pseudomonas protegens",1504
"Pseudomonas psychrophila",359
"Pseudomonas psychrotolerans",1389
"Pseudomonas putida",29412
"Pseudomonas qingdaonensis",443
"Pseudomonas reinekei",161
"Pseudomonas resinovorans",799
"Pseudomonas rhizosphaerae",454
"Pseudomonas rhodesiae",902
"Pseudomonas salmasensis",44
"Pseudomonas saudiphocaensis",446
"Pseudomonas savastanoi",423
"Pseudomonas sediminis",292
"Pseudomonas sessilinigenes",55
"Pseudomonas sihuiensis",138
"Pseudomonas silesiensis",242
"Pseudomonas simiae",270
"Pseudomonas soli",211
"Pseudomonas sp. 02C 26",198
"Pseudomonas sp. 09C 129",610
"Pseudomonas sp. 14181154",176
"Pseudomonas sp. 15A4",213
"Pseudomonas sp. 2hn",152
"Pseudomonas sp. 3-2",42
"Pseudomonas sp. 31-12",203
"Pseudomonas sp. 7SR1",362
"Pseudomonas sp. ABC1",492
"Pseudomonas sp. ACM7",238
"Pseudomonas sp. ADAK13",383
"Pseudomonas sp. ADAK18",207
"Pseudomonas sp. ADAK22",91
"Pseudomonas sp. ADPe",559
"Pseudomonas sp. AN-B15",180
"Pseudomonas sp. AO-1",141
"Pseudomonas sp. ATCC 13867",742
"Pseudomonas sp. ATCC 43928",98
"Pseudomonas sp. B10",54
"Pseudomonas sp. B11D7D",568
"Pseudomonas sp. B14-6",32
"Pseudomonas sp. BIGb0427",231
"Pseudomonas sp. BIOMIG1BAC",273
"Pseudomonas sp. BJP69",65
"Pseudomonas sp. C27(2019)",330
"Pseudomonas sp. Cab53",73
"Pseudomonas sp. CC6-YY-74",386
"Pseudomonas sp. CCOS 191",115
"Pseudomonas sp. CIP-10",1192
"Pseudomonas sp. CMR5c",454
"Pseudomonas sp. DG56-2",343
"Pseudomonas sp. DNDY-54",523
"Pseudomonas sp. DR 5-09",47
"Pseudomonas sp. DR48",269
"Pseudomonas sp. DTU12.3",243
"Pseudomonas sp. DY-1",758
"Pseudomonas sp. FDAARGOS_380",169
"Pseudomonas sp. FGI182",147
"Pseudomonas sp. FIT28",340
"Pseudomonas sp. FIT81",125
"Pseudomonas sp. gcc21",784
"Pseudomonas sp. GR 6-02",48
"Pseudomonas sp. HLS-6",412
"Pseudomonas sp. HN11",190
"Pseudomonas sp. HN2",52
"Pseudomonas sp. HN2-3",332
"Pseudomonas sp. HN8-3",81
"Pseudomonas sp. HS-18",196
"Pseudomonas sp. IB20",97
"Pseudomonas sp. IzPS59",809
"Pseudomonas sp. J380",62
"Pseudomonas sp. KNUC1026",658
"Pseudomonas sp. L5B5",421
"Pseudomonas sp. LAB-08",329
"Pseudomonas sp. LBUM920",197
"Pseudomonas sp. Leaf58",300
"Pseudomonas sp. LG1E9",300
"Pseudomonas sp. LPB0260",334
"Pseudomonas sp. LPH1",112
"Pseudomonas sp. LS.1a",264
"Pseudomonas sp. LTJR-52",258
"Pseudomonas sp. Lz4W",27
"Pseudomonas sp. M30-35",298
"Pseudomonas sp. Marseille-Q3773",270
"Pseudomonas sp. MM211",615
"Pseudomonas sp. MM213",271
"Pseudomonas sp. MPC6",276
"Pseudomonas sp. MPFS",85
"Pseudomonas sp. MRSN12121",67
"Pseudomonas sp. MSPm1",770
"Pseudomonas sp. MTM4",674
"Pseudomonas sp. MYb193",303
"Pseudomonas sp. NC02",82
"Pseudomonas sp. NIBR-H-19",263
"Pseudomonas sp. NIBRBAC000502773",46
"Pseudomonas sp. NS1(2017)",163
"Pseudomonas sp. OE 28.3",250
"Pseudomonas sp. OIL-1",638
"Pseudomonas sp. Os17",94
"Pseudomonas sp. Ost2",429
"Pseudomonas sp. p1(2021b)",1466
"Pseudomonas sp. Pc102",290
"Pseudomonas sp. PDNC002",628
"Pseudomonas sp. phDV1",425
"Pseudomonas sp. PONIH3",36
"Pseudomonas sp. PP3",217
"Pseudomonas sp. PS1(2021)",97
"Pseudomonas sp. R2A2",160
"Pseudomonas sp. R3-52-08",111
"Pseudomonas sp. R4-34-07",85
"Pseudomonas sp. R5-89-07",326
"Pseudomonas sp. R76",80
"Pseudomonas sp. R84",191
"Pseudomonas sp. RBPA9",24
"Pseudomonas sp. RC3H12",210
"Pseudomonas sp. RtIB026",435
"Pseudomonas sp. RU47",135
"Pseudomonas sp. S07E 245",90
"Pseudomonas sp. S09G 359",295
"Pseudomonas sp. S150",98
"Pseudomonas sp. S34",181
"Pseudomonas sp. S35",305
"Pseudomonas sp. S49",532
"Pseudomonas sp. SC3(2021)",19
"Pseudomonas sp. SCA2728.1_7",123
"Pseudomonas sp. SCB32",613
"Pseudomonas sp. SDM007",211
"Pseudomonas sp. Seg1",152
"Pseudomonas sp. SGAir0191",71
"Pseudomonas sp. SK",118
"Pseudomonas sp. SK3(2021)",81
"Pseudomonas sp. SORT22",132
"Pseudomonas sp. St29",215
"Pseudomonas sp. St316",152
"Pseudomonas sp. StFLB209",523
"Pseudomonas sp. SWI6",403
"Pseudomonas sp. SWI7",231
"Pseudomonas sp. TCU-HL1",469
"Pseudomonas sp. THAF7b",73
"Pseudomonas sp. TMW 2.1634",46
"Pseudomonas sp. Tri1",228
"Pseudomonas sp. URMO17WK12:I11",994
"Pseudomonas sp. UW4",144
"Pseudomonas sp. VLB120",226
"Pseudomonas sp. Y5-11",25
"Pseudomonas sp. Z003-0.4C(8344-21)",62
"Pseudomonas stutzeri",7897
"Pseudomonas synxantha",3528
"Pseudomonas syringae group genomosp. 3",248
"Pseudomonas syringae group genomosp. 7",346
"Pseudomonas syringae",3421
"Pseudomonas taetrolens",346
"Pseudomonas tensinigenes",177
"Pseudomonas thivervalensis",279
"Pseudomonas tohonis",290
"Pseudomonas tolaasii",371
"Pseudomonas toyotomiensis",96
"Pseudomonas tritici",187
"Pseudomonas trivialis",478
"Pseudomonas tructae",345
"Pseudomonas umsongensis",505
"Pseudomonas vancouverensis",476
"Pseudomonas vanderleydeniana",579
"Pseudomonas veronii",259
"Pseudomonas versuta",288
"Pseudomonas viciae",191
"Pseudomonas viridiflava",1131
"Pseudomonas wenzhouensis",262
"Pseudomonas xantholysinigenes",236
"Pseudomonas xanthomarina",611
"Pseudomonas xanthosomae",217
"Pseudomonas yamanorum",623
"Pseudomonas zarinae",129
"Pseudomonas zeae",169
"Pseudomonas zhaodongensis",704
"Thiopseudomonas alkaliphila",281
"Salinisphaera sp. LB1",880
"Allofrancisella frigidaquae",55
"Allofrancisella guangzhouensis",88
"Francisella frigiditurris",174
"Francisella halioticida",234
"Francisella hispaniensis",43
"Francisella marina",82
"Francisella orientalis",28
"Francisella philomiragia",401
"Francisella salina",79
"Francisella sp. FSC1006",139
"Francisella sp. LA112445",121
"Francisella sp. Scap27",159
"Francisella tularensis",258
"Francisella uliginis",109
"Hydrogenovibrio crunogenus",253
"Hydrogenovibrio marinus",248
"Hydrogenovibrio thermophilus",238
"Methylophaga frappieri",327
"Methylophaga nitratireducenticrescens",355
"Piscirickettsia salmonis",584
"Thiomicrorhabdus aquaedulcis",445
"Thiomicrorhabdus indica",178
"Thiomicrorhabdus sediminis",118
"Thiomicrorhabdus sp. Am19",193
"Thiomicrorhabdus xiamenensis",262
"Thiomicrospira aerophila",220
"Thiomicrospira cyclica",110
"Thiomicrospira sp. S5",126
"Thiosulfatimonas sediminis",262
"Thiosulfativibrio zosterae",200
"Beggiatoa leptomitoformis",232
"Thiothrix Candidatus Thiothrix anitrata",155
"Thiothrix litoralis",537
"Thiothrix sp. CT3",466
"Thiothrix subterranea",274
"Thiothrix unzii",285
"Aliivibrio fischeri",431
"Aliivibrio salmonicida",201
"Enterovibrio Candidatus Enterovibrio luxaltus",156
"Grimontia hollisae",458
"Paraphotobacterium marinum",263
"Photobacterium damselae",2111
"Photobacterium gaetbulicola",661
"Photobacterium ganghwense",556
"Photobacterium profundum",362
"Photobacterium sp. GJ3",336
"Photobacterium sp. TLY01",760
"Salinivibrio kushneri",528
"Salinivibrio sp. YCSC6",110
"Thaumasiovibrio subtropicus",256
"Vibrio alfacsensis",747
"Vibrio algicola",208
"Vibrio alginolyticus",1483
"Vibrio anguillarum",446
"Vibrio aphrogenes",176
"Vibrio aquimaris",198
"Vibrio astriarenae",235
"Vibrio atlanticus",146
"Vibrio azureus",170
"Vibrio bathopelagicus",116
"Vibrio breoganii",200
"Vibrio campbellii",1003
"Vibrio casei",336
"Vibrio chagasii",122
"Vibrio cholerae",2088
"Vibrio cidicii",121
"Vibrio cincinnatiensis",341
"Vibrio coralliilyticus",747
"Vibrio crassostreae",122
"Vibrio cyclitrophicus",132
"Vibrio diabolicus",368
"Vibrio europaeus",191
"Vibrio fluvialis",985
"Vibrio furnissii",885
"Vibrio gazogenes",382
"Vibrio gigantis",100
"Vibrio harveyi",559
"Vibrio hyugaensis",45
"Vibrio jasicida",56
"Vibrio kanaloae",146
"Vibrio maritimus",459
"Vibrio mediterranei",395
"Vibrio metoecus",868
"Vibrio metschnikovii",170
"Vibrio mimicus",805
"Vibrio natriegens",397
"Vibrio navarrensis",461
"Vibrio neptunius",148
"Vibrio nigripulchritudo",475
"Vibrio owensii",436
"Vibrio panuliri",108
"Vibrio parahaemolyticus",2349
"Vibrio penaeicida",707
"Vibrio ponticus",235
"Vibrio qinghaiensis",44
"Vibrio rotiferianus",524
"Vibrio rumoiensis",424
"Vibrio scophthalmi",349
"Vibrio sp. B1ASS3",19
"Vibrio sp. B1FLJ16",488
"Vibrio sp. B1REV9",38
"Vibrio sp. HDW18",95
"Vibrio sp. OG9-811",472
"Vibrio sp. Scap24",186
"Vibrio sp. SCSIO 43132",99
"Vibrio sp. SS-MA-C1-2",329
"Vibrio sp. THAF190c",140
"Vibrio sp. THAF191c",1719
"Vibrio sp. VB16",214
"Vibrio spartinae",200
"Vibrio splendidus",100
"Vibrio taketomensis",483
"Vibrio tapetis",607
"Vibrio tritonius",241
"Vibrio tubiashii",155
"Vibrio vulnificus",1229
"Vibrio zhugei",316
"Vibrio ziniensis",313
"Aerosticca soli",2335
"Ahniella affigens",476
"Dokdonella koreensis",834
"Dyella caseinilytica",549
"Dyella japonica",674
"Dyella sp. M7H15-1",302
"Dyella telluris",533
"Dyella terrae",495
"Dyella thiooxydans",657
"Frateuria aurantia",657
"Frateuria sp. 5GH9-11",912
"Frateuria sp. 5GH9-34",656
"Luteibacter pinisoli",519
"Luteibacter rhizovicinus",479
"Rhodanobacter denitrificans",892
"Rhodanobacter glycinis",764
"Rhodanobacter sp. FDAARGOS 1247",739
"Rhodanobacter thiooxydans",574
"Arenimonas daejeonensis",938
"Luteimonas chenhongjianii",773
"Luteimonas granuli",902
"Luteimonas sp. D4P002",1410
"Luteimonas sp. JM171",651
"Luteimonas sp. MC1572",517
"Luteimonas sp. MC1750",764
"Luteimonas sp. MC1825",450
"Luteimonas sp. S4-F44",867
"Luteimonas sp. YGD11-2",607
"Luteimonas yindakuii",624
"Lysobacter alkalisoli",646
"Lysobacter antibioticus",890
"Lysobacter arenosi",613
"Lysobacter capsici",3693
"Lysobacter enzymogenes",2322
"Lysobacter gummosus",322
"Lysobacter lycopersici",632
"Lysobacter maris",582
"Lysobacter oculi",1177
"Lysobacter soli",895
"Lysobacter solisilvae (ex Kim et al. 2021)",686
"Lysobacter solisilvae (ex Woo and Kim 2022)",576
"Lysobacter sp. 5GHs7-4",791
"Lysobacter sp. CECT 30171",497
"Lysobacter sp. CJ11",922
"Lysobacter sp. CW239",918
"Lysobacter sp. H21R20",442
"Lysobacter sp. H21R4",293
"Lysobacter sp. H23M41",260
"Lysobacter sp. H23M47",493
"Lysobacter sp. HDW10",302
"Lysobacter sp. K5869",714
"Lysobacter sp. KIS68-7",747
"Lysobacter sp. S4-A87",593
"Lysobacter sp. TY2-98",857
"Pseudolysobacter antarcticus",616
"Pseudoxanthomonas daejeonensis",760
"Pseudoxanthomonas mexicana",10662
"Pseudoxanthomonas sp. X-1",3177
"Pseudoxanthomonas spadix",767
"Pseudoxanthomonas suwonensis",2189
"Stenotrophomonas acidaminiphila",11488
"Stenotrophomonas indicatrix",279
"Stenotrophomonas maltophilia",31648
"Stenotrophomonas nitritireducens",1039
"Stenotrophomonas rhizophila",6112
"Stenotrophomonas sp. 169",1820
"Stenotrophomonas sp. 364",1038
"Stenotrophomonas sp. ASS1",91
"Stenotrophomonas sp. CW117",785
"Stenotrophomonas sp. DR822",285
"Stenotrophomonas sp. ESTM1D_MKCIP4_1",3423
"Stenotrophomonas sp. G4",90
"Stenotrophomonas sp. LM091",1957
"Stenotrophomonas sp. MYb57",79
"Stenotrophomonas sp. NA06056",667
"Stenotrophomonas sp. Pemsol",161
"Stenotrophomonas sp. pho",185
"Stenotrophomonas sp. SAU14A_NAIMI4_5",1543
"Stenotrophomonas sp. SAU14A_NAIMI4_8",1304
"Stenotrophomonas sp. SI-NJAU-1",112
"Stenotrophomonas sp. SXG-1",137
"Stenotrophomonas sp. WZN-1",277
"Stenotrophomonas sp. YAU14A_MKIMI4_1",1361
"Stenotrophomonas sp. YAU14D1_LEIMI4_1",1565
"Stenotrophomonas sp. ZAC14A_NAIMI4_1",762
"Stenotrophomonas sp. ZAC14D2_NAIMI4_6",1539
"Stenotrophomonas sp. ZAC14D2_NAIMI4_7",1895
"Thermomonas aquatica",3521
"Thermomonas brevis",1219
"Thermomonas carbonis",983
"Thermomonas sp. HDW16",1395
"Thermomonas sp. XSG",963
"Xanthomonas albilineans",446
"Xanthomonas arboricola",1452
"Xanthomonas axonopodis",348
"Xanthomonas campestris",2307
"Xanthomonas cassavae",308
"Xanthomonas citri",4210
"Xanthomonas cucurbitae",495
"Xanthomonas euroxanthea",598
"Xanthomonas euvesicatoria",550
"Xanthomonas fragariae",790
"Xanthomonas hortorum",1192
"Xanthomonas hyacinthi",571
"Xanthomonas hydrangeae",277
"Xanthomonas oryzae",1304
"Xanthomonas phaseoli",802
"Xanthomonas sacchari",963
"Xanthomonas sp. CPBF 426",451
"Xanthomonas sp. GW",176
"Xanthomonas sp. MLO165",125
"Xanthomonas sp. SI",363
"Xanthomonas sp. SS",293
"Xanthomonas theicola",576
"Xanthomonas translucens",2013
"Xanthomonas vasicola",525
"Xanthomonas vesicatoria",1411
"Xylella fastidiosa",466
"Xylella taiwanensis",162
"Hydrogenophilus thermoluteolus",166
"Bacteriovorax stolpii",382
"Halobacteriovorax marinus",266
"Halobacteriovorax sp. BALOs_7",148
"Bdellovibrio bacteriovorus",1633
"Bdellovibrio sp. KM01",498
"Bdellovibrio sp. NC01",419
"Bdellovibrio sp. ZAP7",247
"Pseudobdellovibrio exovorus",176
"Fluviispira sanaruensis",426
"Silvanigrella aquatica",278
"Mariprofundus aestuarium",381
"Mariprofundus ferrinatatus",571
"Brachyspira hampsonii",620
"Brachyspira hyodysenteriae",879
"Brachyspira intermedia",444
"Brachyspira murdochii",803
"Brachyspira pilosicoli",992
"Leptospira borgpetersenii",211
"Leptospira interrogans",741
"Leptospira kmetyi",253
"Leptospira mayottensis",220
"Leptospira santarosai",378
"Leptospira sp. severe_002",79
"Leptospira tipperaryensis",246
"Leptospira weilii",172
"Turneriella parva",244
"Borrelia coriaceae",94
"Borrelia crocidurae",20
"Borrelia hermsii",160
"Borrelia maritima",40
"Borrelia miyamotoi",196
"Borrelia parkeri",20
"Borrelia recurrentis",31
"Borrelia sp. A-FGy1",54
"Borrelia sp. HM",24
"Borrelia turcica",160
"Borrelia turicatae",65
"Borreliella bissettiae",20
"Borreliella burgdorferi",105
"Borreliella Candidatus Borreliella tachyglossi",98
"Borreliella garinii",154
"Borreliella mayonii",17
"Borreliella valaisiana",19
"Breznakiella homolactica",1238
"Sphaerochaeta coccoides",738
"Sphaerochaeta globosa",1128
"Sphaerochaeta pleomorpha",903
"Oceanispirochaeta crateris",564
"Salinispira pacifica",418
"Sediminispirochaeta smaragdinae",882
"Spirochaeta africana",602
"Spirochaeta thermophila",633
"Thiospirochaeta perfilievii",202
"Treponema azotonutricium",1208
"Treponema brennaborense",4477
"Treponema caldarium",416
"Treponema denticola",3289
"Treponema medium",730
"Treponema parvum",1800
"Treponema pedis",803
"Treponema peruense",3342
"Treponema phagedenis",804
"Treponema primitia",1094
"Treponema putidum",412
"Treponema ruminis",3130
"Treponema socranskii",824
"Treponema sp. Marseille-Q4132",764
"Treponema sp. OMZ 838",458
"Treponema succinifaciens",140216
"Treponema vincentii",918
"Acetomicrobium mobile",290
"Aminobacterium colombiense",142
"Aminomonas paucivorans",500
"Cloacibacillus porcorum",2969
"Fretibacterium fastidiosum",2302
"Jonquetella anthropi",756
"Thermanaerovibrio acidaminovorans",327
"Thermanaerovibrio velox",236
"Thermovirga lienii",307
"Acholeplasma hippikon",214
"Acholeplasma laidlawii",174
"Alteracholeplasma palmae",144
"Candidatus Phytoplasma 'Catharanthus roseus' aster yellows phytoplasma",20
"Candidatus Phytoplasma Aster yellows witches'-broom phytoplasma",54
"Candidatus Phytoplasma australiense",42
"Candidatus Phytoplasma luffae",66
"Candidatus Phytoplasma mali",92
"Candidatus Phytoplasma solani",26
"Candidatus Phytoplasma ziziphi",232
"Haploplasma axanthum",440
"Mariniplasma anaerobium",302
"Paracholeplasma brassicae",319
"Entomoplasma freundtii",18
"Entomoplasma melaleucae",76
"Mesoplasma chauliocola",31
"Mesoplasma coleopterae",62
"Mesoplasma entomophilum",10
"Mesoplasma florum",283
"Mesoplasma lactucae",84
"Mesoplasma tabanidae",23
"Williamsoniiplasma luminosum",62
"Williamsoniiplasma somnilux",46
"Spiroplasma alleghenense",92
"Spiroplasma apis",30
"Spiroplasma cantharicola",92
"Spiroplasma chinense",172
"Spiroplasma chrysopicola",40
"Spiroplasma citri",59
"Spiroplasma clarkii",108
"Spiroplasma corruscae",131
"Spiroplasma culicicola",61
"Spiroplasma diminutum",113
"Spiroplasma endosymbiont of 'Nebria riversi'",74
"Spiroplasma eriocheiris",80
"Spiroplasma floricola",209
"Spiroplasma gladiatoris",80
"Spiroplasma helicoides",136
"Spiroplasma kunkelii",61
"Spiroplasma litorale",344
"Spiroplasma monobiae",60
"Spiroplasma phoeniceum",16
"Spiroplasma platyhelix",114
"Spiroplasma poulsonii",92
"Spiroplasma sabaudiense",22
"Spiroplasma sp. BIUS-1",50
"Spiroplasma sp. TIUS-1",96
"Spiroplasma syrphidicola",27
"Spiroplasma tabanidicola",101
"Spiroplasma taiwanense",93
"Spiroplasma turonicum",143
"Candidatus Hepatoplasma crinochetorum",76
"Mesomycoplasma bovoculi",30
"Mesomycoplasma conjunctivae",78
"Mesomycoplasma dispar",218
"Mesomycoplasma flocculare",109
"Mesomycoplasma hyopneumoniae",56
"Mesomycoplasma hyorhinis",11
"Mesomycoplasma mobile",44
"Mesomycoplasma neurolyticum",180
"Mycoplasma anserisalpingitidis",163
"Mycoplasma capricolum",78
"Mycoplasma crocodyli",132
"Mycoplasma feriruminatoris",97
"Mycoplasma gallisepticum",217
"Mycoplasma haemofelis",26
"Mycoplasma miroungigenitalium",60
"Mycoplasma miroungirhinis",102
"Mycoplasma mycoides",478
"Mycoplasma nasistruthionis",46
"Mycoplasma ovis",26
"Mycoplasma parvum",10
"Mycoplasma phocoenae",56
"Mycoplasma phocoeninasale",21
"Mycoplasma pneumoniae",14
"Mycoplasma putrefaciens",77
"Mycoplasma sp. (ex Biomphalaria glabrata)",122
"Mycoplasma sp. 1654_15",32
"Mycoplasma sp. E35C",32
"Mycoplasma sp. Mirounga ES2805-ORL",69
"Mycoplasma sp. Ms02",12
"Mycoplasma sp. NEAQ87857",49
"Mycoplasma sp. OR1901",52
"Mycoplasma sp. Pen4",42
"Mycoplasma struthionis",42
"Mycoplasma suis",12
"Mycoplasma tauri",50
"Mycoplasma tullyi",58
"Mycoplasma wenyonii",10
"Mycoplasma yeatsii",141
"Mycoplasmopsis agalactiae",54
"Mycoplasmopsis anatis",60
"Mycoplasmopsis arginini",65
"Mycoplasmopsis bovigenitalium",119
"Mycoplasmopsis bovirhinis",320
"Mycoplasmopsis bovis",65
"Mycoplasmopsis californica",36
"Mycoplasmopsis canis",97
"Mycoplasmopsis citelli",118
"Mycoplasmopsis columbina",40
"Mycoplasmopsis columboralis",67
"Mycoplasmopsis cynos",154
"Mycoplasmopsis edwardii",90
"Mycoplasmopsis felis",62
"Mycoplasmopsis fermentans",44
"Mycoplasmopsis gallinacea",273
"Mycoplasmopsis gallopavonis",80
"Mycoplasmopsis maculosa",78
"Mycoplasmopsis meleagridis",32
"Mycoplasmopsis phocirhinis",44
"Mycoplasmopsis pullorum",140
